Municipio,latitude,longitude
abadia de goias,-16.7573,-49.4412
abadia dos dourados,-18.4831,-47.3916
abadiania,-16.197,-48.7057
abaete,-19.1551,-45.4444
abaetetuba,-1.72183,-48.8788
abaiara,-7.34588,-39.0416
abaira,-13.2488,-41.6619
abare,-8.72073,-39.1162
abatia,-23.3049,-50.3133
abdon batista,-27.6126,-51.0233
abel figueiredo,-4.95333,-48.3933
abelardo luz,-26.5716,-52.3229
abre campo,-20.2996,-42.4743
abreu e lima,-7.90072,-34.8984
abreulandia,-9.62101,-49.1518
acaiaca,-20.359,-43.1439
acailandia,-4.94714,-47.5004
acajutiba,-11.6575,-38.0197
acara,-1.95383,-48.1985
acarape,-4.22083,-38.7055
acarau,-2.88769,-40.1183
acari,-6.4282,-36.6347
acaua,-8.21954,-41.0831
acegua,-31.8665,-54.1615
acopiara,-6.08911,-39.448
acorizal,-15.194,-56.3632
acrelandia,-9.82581,-66.8972
acreuna,-17.396,-50.3749
acu,-5.58362,-36.914
acucena,-19.0671,-42.5419
adamantina,-21.682,-51.0737
adelandia,-16.4127,-50.1657
adolfo,-21.2325,-49.6451
adrianopolis,-24.6606,-48.9922
adustina,-10.5437,-38.1113
afogados da ingazeira,-7.743119999999999,-37.631
afonso bezerra,-5.492290000000001,-36.5075
afonso claudio,-20.0778,-41.1261
afonso cunha,-4.13631,-43.3275
afranio,-8.51136,-41.0095
afua,-0.154874,-50.3861
agrestina,-8.459660000000001,-35.9447
agricolandia,-5.79676,-42.6664
agrolandia,-27.4087,-49.821999999999996
agronomica,-27.2662,-49.708
agua azul do norte,-6.79053,-50.4791
agua boa,-17.9914,-42.3806
agua boa,-14.050999999999998,-52.1601
agua branca,-5.88856,-42.637
agua branca,-7.5114399999999995,-37.6357
agua branca,-9.262,-37.938
agua clara,-20.4452,-52.879
agua comprida,-20.0576,-48.1069
agua doce,-26.9985,-51.5528
agua doce do maranhao,-2.84048,-42.1189
agua doce do norte,-18.5482,-40.9854
agua fria,-11.8618,-38.7639
agua fria de goias,-14.9778,-47.7823
agua limpa,-18.0771,-48.7603
agua nova,-6.20351,-38.2941
agua preta,-8.70609,-35.5263
agua santa,-28.1672,-52.031000000000006
aguai,-22.0572,-46.9735
aguanil,-20.9439,-45.3915
aguas belas,-9.11125,-37.1226
aguas da prata,-21.9319,-46.7176
aguas de chapeco,-27.0754,-52.9808
aguas de lindoia,-22.4733,-46.6314
aguas de santa barbara,-22.8812,-49.2421
aguas de sao pedro,-22.5977,-47.8734
aguas formosas,-17.0802,-40.9384
aguas frias,-26.8794,-52.8568
aguas lindas de goias,-15.7617,-48.2816
aguas mornas,-27.6963,-48.8243
aguas vermelhas,-15.7431,-41.4571
agudo,-29.6447,-53.2515
agudos,-22.4694,-48.9863
agudos do sul,-25.9899,-49.3343
aguia branca,-18.9846,-40.7437
aguiar,-7.0918,-38.1681
aguiarnopolis,-6.5540899999999995,-47.4702
aimores,-19.5007,-41.0746
aiquara,-14.1269,-39.8937
aiuaba,-6.571219999999999,-40.1178
aiuruoca,-21.9736,-44.6042
ajuricaba,-28.2342,-53.7757
alagoa,-22.171,-44.6413
alagoa grande,-7.03943,-35.6206
alagoa nova,-7.05377,-35.7591
alagoinha,-6.9465699999999995,-35.5332
alagoinha,-8.4665,-36.7788
alagoinha do piaui,-7.0003899999999994,-40.9282
alagoinhas,-12.1335,-38.4208
alambari,-23.5503,-47.898
albertina,-22.2018,-46.6139
alcantara,-2.39574,-44.4062
alcantaras,-3.5853699999999997,-40.5479
alcantil,-7.736680000000001,-36.0511
alcinopolis,-18.3255,-53.7042
alcobaca,-17.5195,-39.2036
aldeias altas,-4.6262099999999995,-43.4689
alecrim,-27.6579,-54.7649
alegre,-20.758000000000003,-41.5382
alegrete,-29.7902,-55.7949
alegrete do piaui,-7.241960000000001,-40.8566
alegria,-27.8345,-54.0557
alem paraiba,-21.8797,-42.7176
alenquer,-1.94623,-54.7384
alexandria,-6.40533,-38.0142
alexania,-16.0834,-48.5076
alfenas,-21.4256,-45.9477
alfredo chaves,-20.6396,-40.7543
alfredo marcondes,-21.9527,-51.413999999999994
alfredo vasconcelos,-21.1535,-43.7718
alfredo wagner,-27.7001,-49.3273
algodao de jandaira,-6.892919999999999,-36.0129
alhandra,-7.4297699999999995,-34.9057
alianca,-7.60398,-35.2227
alianca do tocantins,-11.3056,-48.9361
almadina,-14.7089,-39.6415
almas,-11.5706,-47.1792
almeirim,-1.52904,-52.5788
almenara,-16.1785,-40.6942
almino afonso,-6.1475,-37.7636
almirante tamandare,-25.3188,-49.3037
almirante tamandare do sul,-28.1149,-52.9142
aloandia,-17.7292,-49.4769
alpercata,-18.974,-41.97
alpestre,-27.2502,-53.0341
alpinopolis,-20.8631,-46.3878
alta floresta,-9.86674,-56.0867
alta floresta d'oeste,-11.9283,-61.9953
altair,-20.5242,-49.0571
altamira,-3.20407,-52.21
altamira do maranhao,-4.16598,-45.4706
altamira do parana,-24.7983,-52.7128
altaneira,-6.9983699999999995,-39.7356
alterosa,-21.2488,-46.1387
altinho,-8.48482,-36.0644
altinopolis,-21.0214,-47.3712
alto alegre,-21.5811,-50.168
alto alegre,2.98858,-61.3072
alto alegre,-28.7769,-52.9893
alto alegre do maranhao,-4.213,-44.446000000000005
alto alegre do pindare,-3.66689,-45.8421
alto alegre dos parecis,-12.132,-61.835
alto araguaia,-17.3153,-53.2181
alto bela vista,-27.4333,-51.9044
alto boa vista,-11.6732,-51.3883
alto caparao,-20.430999999999997,-41.8738
alto do rodrigues,-5.28186,-36.75
alto feliz,-29.3919,-51.3123
alto garcas,-16.9462,-53.5272
alto horizonte,-14.1978,-49.3378
alto jequitiba,-20.4208,-41.967
alto longa,-5.25634,-42.2096
alto paraguai,-14.5137,-56.4776
alto paraiso,-26.1146,-52.7469
alto paraiso,-9.71429,-63.3188
alto paraiso de goias,-14.1305,-47.51
alto parana,-23.1312,-52.3189
alto parnaiba,-9.102730000000001,-45.9303
alto piquiri,-24.0224,-53.44
alto rio doce,-21.0281,-43.4067
alto rio novo,-19.0618,-41.0209
alto santo,-5.50894,-38.2743
alto taquari,-17.8241,-53.2792
altonia,-23.8759,-53.8958
altos,-5.038880000000001,-42.4612
aluminio,-23.5306,-47.2546
alvaraes,-3.22727,-64.8007
alvarenga,-19.4174,-41.7317
alvares florence,-20.3203,-49.9141
alvares machado,-22.0764,-51.4722
alvaro de carvalho,-22.0841,-49.718999999999994
alvinlandia,-22.4435,-49.7623
alvinopolis,-20.1098,-43.0535
alvorada,-12.4785,-49.1249
alvorada,-29.9914,-51.0809
alvorada d'oeste,-11.3463,-62.2847
alvorada de minas,-18.7334,-43.3638
alvorada do gurgueia,-8.42418,-43.777
alvorada do norte,-14.4797,-46.49100000000001
alvorada do sul,-22.7813,-51.2297
amajari,3.64571,-61.3692
amambai,-23.1058,-55.2253
amapa,2.05267,-50.7957
amapa do maranhao,-1.67524,-46.0024
amapora,-23.0943,-52.7866
amaraji,-8.37691,-35.4501
amaral ferrador,-30.8756,-52.2509
amaralina,-13.9236,-49.2962
amarante,-6.243040000000001,-42.8433
amarante do maranhao,-5.56913,-46.7473
amargosa,-13.0215,-39.602
amatura,-3.37455,-68.2005
amelia rodrigues,-12.3914,-38.7563
america dourada,-11.4429,-41.43899999999999
americana,-22.7374,-47.3331
americano do brasil,-16.2514,-49.9831
americo brasiliense,-21.7288,-48.1147
americo de campos,-20.2985,-49.7359
ametista do sul,-27.3607,-53.183
amontada,-3.3601699999999997,-39.8288
amorinopolis,-16.6151,-51.0919
amparo,-7.55502,-37.0628
amparo,-22.7088,-46.772
amparo de sao francisco,-10.1348,-36.935
amparo do serra,-20.5051,-42.8009
ampere,-25.9168,-53.4686
anadia,-9.68489,-36.3078
anage,-14.6151,-41.1356
anahy,-24.6449,-53.1332
anajas,-0.9968110000000001,-49.9354
anajatuba,-3.26269,-44.6126
analandia,-22.1289,-47.6619
anama,-3.5669699999999995,-61.3963
ananas,-6.36437,-48.0735
ananindeua,-1.36391,-48.3743
anapolis,-16.3281,-48.953
anapu,-3.46985,-51.2003
anapurus,-3.6757699999999995,-43.1014
anastacio,-20.4823,-55.8104
anaurilandia,-22.1852,-52.7191
anchieta,-26.5382,-53.3319
anchieta,-20.7955,-40.6425
andarai,-12.8049,-41.3297
andira,-23.0533,-50.2304
andorinha,-10.3482,-39.8391
andradas,-22.0695,-46.5724
andradina,-20.8948,-51.3786
andre da rocha,-28.6283,-51.5797
andrelandia,-21.7411,-44.3117
angatuba,-23.4917,-48.4139
angelandia,-17.7279,-42.2641
angelica,-22.1527,-53.7708
angelim,-8.88429,-36.2902
angelina,-27.5704,-48.9879
angical,-12.0063,-44.7003
angical do piaui,-6.08786,-42.74
angico,-6.39179,-47.8611
angicos,-5.65792,-36.6094
angra dos reis,-23.0011,-44.3196
anguera,-12.1462,-39.2462
angulo,-23.1946,-51.9154
anhanguera,-18.3339,-48.2204
anhembi,-22.793000000000003,-48.1336
anhumas,-22.2934,-51.3895
anicuns,-16.4642,-49.9617
anisio de abreu,-9.18564,-43.0494
anita garibaldi,-27.6897,-51.1271
anitapolis,-27.9012,-49.1316
anori,-3.74603,-61.6575
anta gorda,-28.9698,-52.0102
antas,-10.3856,-38.3401
antonina,-25.4386,-48.7191
antonina do norte,-6.769189999999999,-39.986999999999995
antonio almeida,-7.21276,-44.1889
antonio cardoso,-12.4335,-39.1176
antonio carlos,-27.5191,-48.766000000000005
antonio carlos,-21.320999999999998,-43.7451
antonio dias,-19.6491,-42.8732
antonio goncalves,-10.5767,-40.2785
antonio joao,-22.1927,-55.9517
antonio martins,-6.21367,-37.8834
antonio olinto,-25.9804,-50.1972
antonio prado,-28.8565,-51.2883
antonio prado de minas,-21.0192,-42.1109
aparecida,-6.784660000000001,-38.0803
aparecida,-22.8495,-45.2325
aparecida d'oeste,-20.4487,-50.8835
aparecida de goiania,-16.8198,-49.2469
aparecida do rio doce,-18.2941,-51.1516
aparecida do rio negro,-9.94139,-47.9638
aparecida do taboado,-20.0873,-51.0961
aperibe,-21.6252,-42.1017
apiaca,-21.1523,-41.5693
apiacas,-9.539810000000001,-57.4587
apiai,-24.5108,-48.8443
apicum-acu,-1.45862,-45.0864
apiuna,-27.0375,-49.3885
apodi,-5.653490000000001,-37.7946
apora,-11.6577,-38.0814
apore,-18.9607,-51.9232
apuarema,-13.8542,-39.7501
apucarana,-23.55,-51.4635
apui,-7.194089999999999,-59.896
apuiares,-3.94506,-39.4359
aquidaba,-10.277999999999999,-37.0148
aquidauana,-20.4666,-55.7868
aquiraz,-3.89929,-38.3896
arabuta,-27.1587,-52.1423
aracagi,-6.8437399999999995,-35.3737
aracai,-19.1955,-44.2493
aracaju,-10.9091,-37.0677
aracariguama,-23.4366,-47.0608
aracas,-12.22,-38.2027
aracati,-4.55826,-37.7679
aracatu,-14.427999999999999,-41.4648
aracatuba,-21.2076,-50.4401
araci,-11.3253,-38.9584
aracitaba,-21.3446,-43.3736
aracoiaba,-7.7839100000000006,-35.0809
aracoiaba,-4.36872,-38.8125
aracoiaba da serra,-23.5029,-47.6166
aracruz,-19.82,-40.2764
aracu,-16.3563,-49.6804
aracuai,-16.8523,-42.0637
aragarcas,-15.8955,-52.2372
aragoiania,-16.9087,-49.4476
aragominas,-7.16005,-48.5291
araguacema,-8.80755,-49.5569
araguacu,-12.9289,-49.8231
araguaiana,-15.7291,-51.8341
araguaina,-7.19238,-48.2044
araguainha,-16.857,-53.0318
araguana,-6.58225,-48.6395
araguana,-2.94644,-45.6589
araguapaz,-15.0909,-50.6315
araguari,-18.6456,-48.1934
araguatins,-5.64659,-48.1232
araioses,-2.89091,-41.905
aral moreira,-22.9385,-55.6334
aramari,-12.0884,-38.4969
arambare,-30.9092,-51.5046
arame,-4.88347,-46.0032
aramina,-20.0882,-47.7873
arandu,-23.1386,-49.0487
arantina,-21.9102,-44.2555
arapei,-22.6717,-44.4441
arapiraca,-9.75487,-36.6615
arapoema,-7.65463,-49.0637
araponga,-20.6686,-42.5178
arapongas,-23.4153,-51.4259
arapora,-18.4357,-49.1847
arapoti,-24.1548,-49.8285
arapua,-24.3132,-51.7856
arapua,-19.0268,-46.1484
araputanga,-15.4641,-58.3425
araquari,-26.3754,-48.7188
arara,-6.828130000000001,-35.7552
ararangua,-28.9356,-49.4918
araraquara,-21.7845,-48.178000000000004
araras,-22.3572,-47.3842
ararenda,-4.74567,-40.830999999999996
arari,-3.45214,-44.7665
ararica,-29.6168,-50.9291
araripe,-7.213189999999999,-40.1359
araripina,-7.57073,-40.494
araruama,-22.8697,-42.3326
araruna,-23.9315,-52.5021
araruna,-6.5484800000000005,-35.7498
arataca,-15.2651,-39.419000000000004
aratiba,-27.3978,-52.2975
aratuba,-4.4122900000000005,-39.0471
aratuipe,-13.0716,-39.0038
araua,-11.2614,-37.6201
araucaria,-25.5859,-49.4047
araujos,-19.9405,-45.1671
araxa,-19.5902,-46.9438
arceburgo,-21.359,-46.9401
arco-iris,-21.7728,-50.466
arcos,-20.2863,-45.5373
arcoverde,-8.415189999999999,-37.0577
areado,-21.3572,-46.1421
areal,-22.2283,-43.1118
arealva,-22.031,-48.9135
areia,-6.96396,-35.6977
areia branca,-4.95254,-37.1252
areia branca,-10.758,-37.3251
areia de baraunas,-7.11702,-36.9404
areial,-7.04789,-35.9313
areias,-22.5786,-44.6992
areiopolis,-22.6672,-48.6681
arenapolis,-14.4472,-56.8437
arenopolis,-16.3837,-51.5563
ares,-6.1883099999999995,-35.1608
argirita,-21.6083,-42.8292
aricanduva,-17.8666,-42.5533
arinos,-15.9187,-46.1043
aripuana,-10.1723,-59.4568
ariquemes,-9.905710000000001,-63.0325
ariranha,-21.1872,-48.7904
ariranha do ivai,-24.3857,-51.5839
armacao dos buzios,-22.7528,-41.8846
armazem,-28.2448,-49.0215
arneiroz,-6.3165,-40.1653
aroazes,-6.11022,-41.7822
aroeiras,-7.54473,-35.7066
aroeiras do itaim,-7.245019999999999,-41.5325
arraial,-6.65075,-42.5418
arraial do cabo,-22.9774,-42.0267
arraias,-12.9287,-46.9359
arroio do meio,-29.4014,-51.9557
arroio do padre,-31.4389,-52.4246
arroio do sal,-29.5439,-49.8895
arroio do tigre,-29.3348,-53.0966
arroio dos ratos,-30.0875,-51.7275
arroio grande,-32.2327,-53.0862
arroio trinta,-26.9257,-51.3407
artur nogueira,-22.5727,-47.1727
aruana,-14.9166,-51.075
aruja,-23.3965,-46.32
arvoredo,-27.0748,-52.4543
arvorezinha,-28.8737,-52.1781
ascurra,-26.9548,-49.3783
aspasia,-20.16,-50.728
assai,-23.3697,-50.8459
assare,-6.8669,-39.8689
assis,-22.66,-50.4183
assis brasil,-10.9298,-69.5738
assis chateaubriand,-24.4168,-53.5213
assuncao,-7.072310000000001,-36.725
assuncao do piaui,-5.865,-41.0389
astolfo dutra,-21.3184,-42.8572
astorga,-23.2318,-51.6668
atalaia,-23.1517,-52.0551
atalaia,-9.5119,-36.0086
atalaia do norte,-4.37055,-70.1967
atalanta,-27.4219,-49.7789
ataleia,-18.0438,-41.1149
atibaia,-23.1171,-46.5563
atilio vivacqua,-20.913,-41.1986
augustinopolis,-5.46863,-47.8863
augusto correa,-1.0510899999999999,-46.6147
augusto de lima,-18.0997,-44.2655
augusto pestana,-28.5172,-53.9883
augusto severo (campo grande),-5.86206,-37.3135
aurea,-27.6936,-52.0505
aurelino leal,-14.321,-39.329
auriflama,-20.6836,-50.5572
aurilandia,-16.6773,-50.4641
aurora,-6.933489999999999,-38.9742
aurora,-27.3098,-49.6295
aurora do para,-2.14898,-47.5677
aurora do tocantins,-12.7105,-46.4076
autazes,-3.58574,-59.1256
avai,-22.1514,-49.3356
avanhandava,-21.4584,-49.9509
avare,-23.1067,-48.9251
aveiro,-3.6084099999999997,-55.3199
avelino lopes,-10.1345,-43.9563
avelinopolis,-16.4672,-49.7579
axixa,-2.8393900000000003,-44.062
axixa do tocantins,-5.61275,-47.7701
babaculandia,-7.209230000000001,-47.7613
bacabal,-4.224469999999999,-44.7832
