Municipio,Latitude,Longitude,Codigo
afonso claudio,-20.0778,-41.1261,32
agua doce do norte,-18.5482,-40.9854,32
aguia branca,-18.9846,-40.7437,32
alegre,-20.758000000000003,-41.5382,32
alfredo chaves,-20.6396,-40.7543,32
alto rio novo,-19.0618,-41.0209,32
anchieta,-20.7955,-40.6425,32
apiaca,-21.1523,-41.5693,32
aracruz,-19.82,-40.2764,32
atilio vivacqua,-20.913,-41.1986,32
baixo guandu,-19.5213,-41.0109,32
barra de sao francisco,-18.7548,-40.8965,32
boa esperanca,-18.5395,-40.3025,32
bom jesus do norte,-21.1173,-41.6731,32
brejetuba,-20.1395,-41.2954,32
cachoeiro de itapemirim,-20.8462,-41.1198,32
cariacica,-20.2632,-40.4165,32
castelo,-20.6033,-41.2031,32
colatina,-19.5493,-40.6269,32
conceicao da barra,-18.5883,-39.7362,32
conceicao do castelo,-20.3639,-41.2417,32
divino de sao lourenco,-20.6229,-41.6937,32
domingos martins,-20.3603,-40.6594,32
dores do rio preto,-20.6931,-41.8405,32
ecoporanga,-18.3702,-40.836,32
fundao,-19.937,-40.4078,32
governador lindenberg,-19.1864,-40.4473,32
guacui,-20.7668,-41.6734,32
guarapari,-20.6772,-40.5093,32
ibatiba,-20.2347,-41.5087,32
ibiracu,-19.8366,-40.3732,32
ibitirama,-20.5466,-41.6667,32
iconha,-20.7913,-40.8132,32
irupi,-20.3501,-41.6444,32
itaguacu,-19.8018,-40.8601,32
itapemirim,-21.0095,-40.8307,32
itarana,-19.875,-40.8753,32
iuna,-20.3531,-41.5334,32
jaguare,-18.907,-40.0759,32
jeronimo monteiro,-20.7994,-41.3948,32
joao neiva,-19.7577,-40.385999999999996,32
laranja da terra,-19.8994,-41.0621,32
linhares,-19.3946,-40.0643,32
mantenopolis,-18.8594,-41.123999999999995,32
marataizes,-21.0398,-40.8384,32
marechal floriano,-20.4159,-40.67,32
marilandia,-19.4114,-40.5456,32
mimoso do sul,-21.0628,-41.3615,32
montanha,-18.1303,-40.3668,32
mucurici,-18.0965,-40.52,32
muniz freire,-20.4652,-41.4156,32
muqui,-20.9509,-41.346000000000004,32
nova venecia,-18.715,-40.4053,32
pancas,-19.2229,-40.8534,32
pedro canario,-18.3004,-39.9574,32
pinheiros,-18.4141,-40.2171,32
piuma,-20.8334,-40.7268,32
ponto belo,-18.1253,-40.5458,32
presidente kennedy,-21.0964,-41.0468,32
rio bananal,-19.2719,-40.3366,32
rio novo do sul,-20.8556,-40.9388,32
santa leopoldina,-20.0999,-40.527,32
santa maria de jetiba,-20.0253,-40.7439,32
santa teresa,-19.9363,-40.5979,32
sao domingos do norte,-19.1452,-40.6281,32
sao gabriel da palha,-19.0182,-40.5365,32
sao jose do calcado,-21.0274,-41.6636,32
sao mateus,-18.7214,-39.8579,32
sao roque do canaa,-19.7411,-40.6526,32
serra,-20.121,-40.3074,32
sooretama,-19.1897,-40.0974,32
vargem alta,-20.669,-41.0179,32
venda nova do imigrante,-20.327,-41.1355,32
viana,-20.3825,-40.4933,32
vila pavao,-18.6091,-40.609,32
vila valerio,-18.9958,-40.3849,32
vila velha,-20.3417,-40.2875,32
vitoria,-20.3155,-40.3128,32
